id,material_id,starts_from,price,created_at,updated_at
3289,2141,31,15.29,2021-07-29T15:04:07.272Z,2021-07-29T15:04:07.272Z
3290,2141,100,13.9,2021-07-29T15:04:07.274Z,2021-07-29T15:04:07.274Z
3291,2142,31,8.58,2021-07-29T15:04:07.295Z,2021-07-29T15:04:07.295Z
3292,2142,100,7.8,2021-07-29T15:04:07.297Z,2021-07-29T15:04:07.297Z
3293,2144,31,9.57,2021-07-29T15:04:07.318Z,2021-07-29T15:04:07.318Z
3294,2144,100,8.7,2021-07-29T15:04:07.321Z,2021-07-29T15:04:07.321Z
3295,2148,31,10.12,2021-07-29T15:04:07.342Z,2021-07-29T15:04:07.342Z
3296,2148,100,9.2,2021-07-29T15:04:07.345Z,2021-07-29T15:04:07.345Z
3297,2149,31,10.89,2021-07-29T15:04:07.367Z,2021-07-29T15:04:07.367Z
3298,2149,100,9.9,2021-07-29T15:04:07.370Z,2021-07-29T15:04:07.370Z
3299,1342,31,21.23,2021-07-29T15:04:07.392Z,2021-07-29T15:04:07.392Z
3300,1342,100,19.3,2021-07-29T15:04:07.394Z,2021-07-29T15:04:07.394Z
3301,2165,31,14.74,2021-07-29T15:04:07.416Z,2021-07-29T15:04:07.416Z
3302,2165,100,13.4,2021-07-29T15:04:07.419Z,2021-07-29T15:04:07.419Z
3303,2166,31,21.01,2021-07-29T15:04:07.440Z,2021-07-29T15:04:07.440Z
3304,2166,100,19.1,2021-07-29T15:04:07.443Z,2021-07-29T15:04:07.443Z
3305,2167,31,7.48,2021-07-29T15:04:07.465Z,2021-07-29T15:04:07.465Z
3306,2167,100,6.8,2021-07-29T15:04:07.468Z,2021-07-29T15:04:07.468Z
3307,2169,31,10.89,2021-07-29T15:04:07.493Z,2021-07-29T15:04:07.493Z
3308,2169,100,9.9,2021-07-29T15:04:07.495Z,2021-07-29T15:04:07.495Z
3309,2128,31,23.43,2021-07-29T15:04:07.516Z,2021-07-29T15:04:07.516Z
3310,2128,100,21.3,2021-07-29T15:04:07.519Z,2021-07-29T15:04:07.519Z
3311,2121,31,27.06,2021-07-29T15:04:07.553Z,2021-07-29T15:04:07.553Z
3312,2121,100,24.6,2021-07-29T15:04:07.556Z,2021-07-29T15:04:07.556Z
3313,2136,31,12.76,2021-07-29T15:04:07.577Z,2021-07-29T15:04:07.577Z
3314,2136,100,11.6,2021-07-29T15:04:07.580Z,2021-07-29T15:04:07.580Z
3315,1340,31,14.19,2021-07-29T15:04:07.602Z,2021-07-29T15:04:07.602Z
3316,1340,100,12.9,2021-07-29T15:04:07.604Z,2021-07-29T15:04:07.604Z
