id,status,type,quantity,requested_at,closed_at,delay_days,delay_note,material_id,user_id,project_id,created_at,updated_at,order_id,price,price_unit,surcharge,accepted_at,deleted_at,origin_quantity,variant_id,currency,bought_price
1284,delivered,swatch,1,2021-01-20T10:40:11.211Z,,,,380,374,,2021-01-20T10:07:45.194Z,2021-05-03T19:24:05.754Z,201,0,,,,,,222,USD,0
1226,delivered,swatch,2,2021-01-02T10:16:35.522Z,,,,1188,360,,2021-01-02T10:06:16.338Z,2021-05-03T19:24:06.191Z,189,0,,,,,,792,USD,0
790,delivered,sample,274,2020-10-06T03:16:06.207Z,,,,1007,290,,2020-10-06T03:11:50.603Z,2021-05-27T14:23:35.891Z,150,1.93,,,,,,626,USD,528.82
1816,available,sample,502,2021-06-03T08:40:23.679Z,2021-06-04T08:38:52.900Z,,,244,7,,2021-06-02T08:28:41.549Z,2021-06-04T08:38:52.906Z,,2.5,,,,,,178,,0
1242,delivered,swatch,2,2021-01-02T10:16:35.522Z,,,,1476,360,,2021-01-02T10:12:06.082Z,2021-05-03T19:24:06.322Z,189,0,,,,,,1069,USD,0
669,delivered,swatch,1,2020-09-13T13:38:15.858Z,,,,1187,168,,2020-08-30T12:38:02.032Z,2021-05-03T19:24:06.446Z,145,0,,,,,,791,USD,0
1361,delivered,swatch,2,2021-02-19T15:20:49.080Z,,,,1797,412,,2021-02-19T12:30:21.239Z,2021-05-03T19:24:06.567Z,212,0,,,,,,1624,USD,0
1419,delivered,swatch,1,2021-03-01T14:08:40.846Z,,,,1985,386,,2021-03-01T11:31:41.211Z,2021-05-03T19:24:06.643Z,217,0,,,,,,1935,USD,0
800,delivered,sample,1,2020-10-13T09:16:33.794Z,,14,Need some time to prepare the greige with correct finishing for digital print,1668,180,,2020-10-08T11:42:25.942Z,2020-11-12T15:02:38.587Z,158,3.95,,,2020-10-15T13:11:24.532Z,,,1405,USD,3.95
1836,available,sample,1,2021-06-16T12:17:05.401Z,2021-06-16T12:18:41.401Z,,,1846,549,,2021-06-16T12:14:42.432Z,2021-06-16T12:18:41.409Z,,22,,,,,,1705,,0
659,delayed,swatch,1,2020-09-13T13:38:15.858Z,2020-09-14T13:36:50.643Z,14,,1230,168,,2020-08-30T12:25:02.368Z,2020-09-14T13:36:50.653Z,,0,,,,,,834,,
